0 50 50 50 12.5 
0 50 50 50 50 12.5 
0 50 50 50 12.5 
0 50 50 50 12.5 
0 50 50 50 12.5 
0 50 50 50 12.5 
0 50 50 50 12.5 
0 50 50 50 12.5 
0 50 50 50 12.5 
0 50 50 12.5 
0 25 25 25 12.5 
0 25 25 25 25 25 12.5 
0 25 25 25 25 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 25 25 25 25 25 12.5 
0 25 25 25 25 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 6.25 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 12.5 
0 25 25 25 25 25 25 12.5 
0 50 50 50 50 50 50 12.5 
0 50 50 50 50 12.5 
0 50 50 50 50 12.5 
0 50 50 50 50 12.5 
0 50 50 50 50 12.5 
0 50 50 50 50 12.5 
0 50 50 50 50 50 12.5 
0 50 50 50 50 12.5 
0 25 25 25 25 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 25 25 25 12.5 
0 25 25 25 25 25 12.5 
0 6.25 6.25 6.25 6.25 6.25 12.5 
0 3.125 3.125 3.125 3.125 12.5 
0 3.125 3.125 3.125 3.125 12.5 
0 3.125 3.125 3.125 3.125 12.5 
0 3.125 3.125 3.125 3.125 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 25 25 25 25 25 12.5 
0 25 25 25 25 25 12.5 
0 25 25 25 25 25 12.5 
0 25 25 25 25 12.5 
0 25 25 25 25 12.5 
0 25 25 25 25 12.5 
0 50 50 50 50 50 12.5 
0 50 50 50 50 12.5 
0 50 50 50 50 12.5 
0 50 50 50 50 50 12.5 
0 50 50 50 50 50 50 12.5 
0 25 25 25 25 12.5 
0 25 25 25 25 12.5 
0 25 25 25 25 25 12.5 
0 25 25 25 25 25 12.5 
0 25 25 25 25 12.5 
0 25 25 25 25 12.5 
0 25 25 25 25 25 25 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 50 50 50 50 12.5 
0 50 50 50 50 50 12.5 
0 50 50 50 50 50 12.5 
0 50 50 50 50 12.5 
0 50 50 50 50 12.5 
0 50 50 50 50 50 50 12.5 
0 25 25 25 25 12.5 
0 25 25 25 25 12.5 
0 25 25 25 25 12.5 
0 25 25 25 25 25 25 12.5 
0 25 25 25 25 25 12.5 
0 25 25 25 25 25 25 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 
0 50 50 50 50 12.5 
0 50 50 50 50 50 12.5 
0 50 50 50 50 50 12.5 
0 50 50 50 50 50 12.5 
0 50 50 50 50 50 50 12.5 
0 25 25 25 25 12.5 
0 25 25 25 25 25 12.5 
0 25 25 25 25 25 25 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 12.5 
0 25 25 25 25 25 25 12.5 
0 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 
0 12.5 12.5 12.5 12.5 12.5 12.5 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
0 6.25 6.25 6.25 6.25 12.5 
